,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch_depth,params_net_arch_width,params_ortho_init,params_vf_coef,state
0,0,5.0,2024-12-04 22:44:21.662822,2024-12-04 22:45:55.026779,0 days 00:01:33.363957,leaky_relu,128,0.2,0.017398081335513144,0.99,0.98,0.013409740723882707,constant,0.9,20,512,1,64,True,0.48444907700888074,COMPLETE
1,1,0.0,2024-12-04 22:45:55.029082,2024-12-04 22:47:07.653187,0 days 00:01:12.624105,leaky_relu,32,0.1,0.004076309759899477,0.95,0.8,0.3506356613059032,linear,5.0,1,32,3,512,True,0.7363522222657015,COMPLETE
2,2,0.0,2024-12-04 22:47:07.655361,2024-12-04 22:51:08.661147,0 days 00:04:01.005786,tanh,8,0.2,0.010681450776139653,0.9,0.99,0.0035228730563103368,linear,2.0,5,256,3,512,False,0.1497286375137662,COMPLETE
3,3,5.0,2024-12-04 22:51:08.663339,2024-12-04 22:52:43.790518,0 days 00:01:35.127179,leaky_relu,1024,0.2,6.20761808063616e-07,0.8,0.98,0.00024360352623828692,constant,0.8,1,8,2,512,True,0.6627511769929607,COMPLETE
4,4,0.0,2024-12-04 22:52:43.792247,2024-12-04 22:54:17.760746,0 days 00:01:33.968499,elu,64,0.1,0.0017839188846074288,0.8,0.99,0.27059989006725743,constant,0.6,10,128,1,64,True,0.37503978296922147,COMPLETE
5,5,0.0,2024-12-04 22:54:17.762828,2024-12-04 22:56:09.311083,0 days 00:01:51.548255,elu,16,0.1,0.035195565304137144,1.0,0.5,0.7467402742461182,linear,0.5,1,8,2,128,True,0.07102320276124152,COMPLETE
6,6,,2024-12-04 22:56:09.313131,2024-12-04 22:57:01.229811,0 days 00:00:51.916680,elu,512,0.2,0.021182540492649938,0.9,0.995,1.0746128975883427e-05,linear,0.9,1,1024,3,64,True,0.4178251161020805,FAIL
